Query,Category,Folder,Correct Source,answer,metadata
my client has been SMS blocked for this account,LC Phone System,Calendar Settings,https://help.gohighlevel.com/support/solutions/articles/48000981696-sms-not-sending-delivering-to-contacts,"If your client has been SMS blocked, it could be due to the Do Not Disturb (DND) feature being enabled. This can happen if opt-out keywords like STOP, UNSUBSCRIBE, or CANCEL were used, or if specific Twilio error codes were triggered. To resolve this, you may need to:

1. Check if the DND status is set to Permanent, which requires the customer to reply with 'START' or for the agency to provide opt-in information to support for approval.
2. Review any recent communications to ensure no opt-out keywords were used inadvertently.
3. Contact support if further assistance is needed to remove the block.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001214849-donotdisturb-dnd-split-', 'Category': 'nan', 'Folder': 'Smart Lists '}]"
need sid for a subaccount,LC Phone System,Workflows,https://help.gohighlevel.com/support/solutions/articles/48001177283-move-numbers-from-one-twilio-account-to-another,"To find the Account SID for a sub-account in HighLevel, follow these steps:

1. Go to Agency Settings > Phone Integration.
2. Click the pencil icon next to the relevant sub-account.
3. Copy the Account SID displayed there.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001177283-move-numbers-from-one-twilio-account-to-another', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48000981421-import-existing-twilio-numbers-into-highlevel', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
I have a dedicated domain but I have hit a sending limit.,LC Email System,Funnels,https://help.gohighlevel.com/support/solutions/articles/48001220605-what-is-lc-email-#extend-sending-limit,"If you have hit a sending limit with your dedicated domain, you can increase the email sending limit by ensuring that you have set up a dedicated sending domain. For a dedicated domain, the daily email limit can be up to 450,000 emails per day. If you are still facing issues, you may need to review your domain configuration or contact support for further assistance.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001220605-what-is-lc-email-', 'Category': 'Email ', 'Folder': 'LC Email '}]"
I'm wondering how to remove a dedicated IP from our account. I noticed our deliverability was dropping a bit so I thought a new IP might help but didn't realize it would keep the old one as well. now we have two and I want to ensure we're not paying monthly for both.,LC Email System,--,https://help.gohighlevel.com/en/support/solutions/articles/155000001152-what-is-a-dedicated-ip-in-lc-email-,"I'm sorry, but I don't have relevant information to answer the question about removing a dedicated IP from your account.",
Need help adding Zoom link to automated calendar invites.,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000002372--new-how-to-connect-zoom-,"To add a Zoom link to automated calendar invites, you need to integrate Zoom with your CRM platform's calendar system. Here are the steps based on the provided context:

1. **Integration Setup**: Ensure that each user connects their own Zoom account to their profile in the CRM platform.
2. **Meeting Location**: Set the meeting location to Zoom in user availability and calendar settings. This will automatically generate unique Zoom meeting links for each new scheduled meeting.
3. **Workflow for Reminders**: You can set up a workflow to send appointment reminders with Zoom links by using the Workflow Builder. Trigger the workflow by appointment status and include the custom value `{{appointment.meeting_location}}` to provide the dynamic Zoom link.
4. **Limitations**: Note that the integration has a limit of 100 requests per day for creating, updating, or deleting meetings, and it only works with Group Calendars.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001179593-zoom-integration-for-users-calendar-bookings', 'Category': 'Integrations ', 'Folder': 'Other Integrations '}]"
When I call I dont want the voice to say that the call is being recorded,LC Phone System,Other,https://help.gohighlevel.com/support/solutions/articles/48001229976-phone-number-settings-explained#Call-Recording,"To prevent the voice from announcing that the call is being recorded, you can modify the call recording announcement message. You have the option to edit the default message or add spaces to remove the announcement, depending on local regulations.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001076526-calls-not-recording', 'Category': 'Phone System ', 'Folder': 'Unpublished Articles '}]"
"I removed the ""If you no longer wish to receive these emails you may unsubscribe"" message from the email template but it's still be added automatically. Can you guide me how to get it removed? \n\nThe email templates are ""Welcome Email Template"" and ""Welcome Email Template - For existing clients"" ",LC Email System,Funnel Builder (New UI),https://help.gohighlevel.com/support/solutions/articles/48001225534-how-to-set-up-unsubscribe-links-for-lc-email,"In HighLevel's LC Email system, if your email template already contains an unsubscribe link, the system will automatically add an additional unsubscribe link. This is done to ensure compliance with anti-spam regulations. Unfortunately, the system does not provide an option to completely remove the unsubscribe link from emails, as it is a compliance requirement.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001225534-how-to-set-up-unsubscribe-links-for-lc-email', 'Category': 'Email ', 'Folder': 'LC Email '}]"
I need a number ported from sub account: [x_id] to new account: [y_id],LC Phone System,Workflows,https://help.gohighlevel.com/support/solutions/articles/48001177283-move-numbers-from-one-twilio-account-to-another,"To port a number from sub-account [x_id] to new account [y_id], follow these steps:

1. Gather the necessary information:
   - Phone number(s) to be moved
   - Losing Account SID ([x_id])
   - Gaining Account SID ([y_id])
   - Desired timeframe for the move
   - Regulatory requirements if the number is non-US/Canada

2. Create a support ticket with Twilio:
   - Use the subject ""Moving numbers request""
   - Include the phone number(s), losing/gaining Account SIDs, and desired timeframe
   - Request ASAP processing, especially if it's business-critical

3. If the accounts have different owners, both must submit approval tickets.

4. Once Twilio processes the request, the number will appear in HighLevel > Client Sub-Account > Settings > Phone Numbers.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001177283-move-numbers-from-one-twilio-account-to-another', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
reintegrate smtp,LC Email System,Other,https://help.gohighlevel.com/support/solutions/articles/48001059689-setting-up-smtp-providers,"To reintegrate SMTP in HighLevel, follow these general steps:

1. **Access SMTP Settings:**
   - Navigate to the Email Services section in your HighLevel account settings.

2. **Remove Existing Integration:**
   - If you are troubleshooting or resetting, you may need to delete the existing SMTP integration. For example, in Mailgun, you can do this by accessing the Agency view > Settings > Email Services > Location Settings, and typing 'Delete' to remove the integration.

3. **Reintegrate SMTP Provider:**
   - For SendGrid, generate a new API key with 'Full Access' permissions and use 'apikey' as the username when adding it to HighLevel.
   - For Mailgun, ensure that your DNS records are correctly set up and verify your domain.

4. **Verify Configuration:**
   - Send a test email to ensure that the SMTP integration is working correctly. Check for any error messages and verify that the sender email matches the SMTP integrated email.

5. **Troubleshoot if Necessary:**
   - If issues persist, consult the error logs or contact your SMTP provider's support for further assistance.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001166110-using-sendgrid-as-the-smtp-provider', 'Category': 'Email ', 'Folder': 'SMTP Providers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001207525-troubleshooting-warning-please-contact-your-agency-to-change-email-settings', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48000987293-how-to-setup-replies-in-mailgun', 'Category': 'Email ', 'Folder': 'MailGun '}]"
were wondering if numbers can be transferred within sub accounts?,LC Phone System,Workflows,https://help.gohighlevel.com/support/solutions/articles/48001203968-moving-numbers-tool-across-sub-accounts,"Yes, numbers can be transferred within sub-accounts in the HighLevel platform. The process involves using the 'Move Numbers' tool found under Settings > Phone Integration. You can select the source and destination sub-accounts and confirm the number transfer. The types of number transfers possible include Twilio to Twilio, Twilio to LC Phone, LC Phone to Twilio, and LC Phone to LC Phone.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001203968-moving-numbers-tool-across-sub-accounts', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
How to make the consent form optional,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000001032-consent-checkbox-for-compliance,I don't have relevant information to answer the question about making the consent form optional.,
how to get a phone number on my account,Phone & Email,--,https://help.gohighlevel.com/support/solutions/articles/48000981420-how-to-purchase-a-phone-number-in-a-sub-account,"To get a phone number on your account in the HighLevel platform, follow these steps:

1. Ensure your agency telephony provider is set up first.
2. Switch to the desired sub-account by clicking the account switcher option at the top left, searching for the desired sub-account, and clicking on it.
3. Navigate to Settings > Phone Numbers.
4. Click 'Add Number' and select the country.
5. Choose and purchase the number by clicking 'Proceed to Buy'.

Note: If you are outside the USA or Canada, you may need to complete a regulatory bundle/address registration for the best telephone experience.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000003226-how-to-purchase-a-phone-number-in-a-sub-account', 'Category': 'Phone System ', 'Folder': 'LC Phone System '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48000981420-how-to-purchase-a-phone-number-in-a-sub-account', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
I am trying to sync my calendar so I can get notified whenever someone books a meeting,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000002374--new-calendar-configuration-linked-calendar-conflicts-calendar,"To get notified whenever someone books a meeting, you can set up email and in-app notifications in HighLevel. Here's how you can do it:

1. Navigate to Calendar > Calendar Settings and select the desired calendar.
2. Click on the Notifications tab.
3. Customize the content for each receiver type (Contact, Guest, User, Additional Emails).
4. Configure email notifications by selecting templates or customizing content.
5. Set up in-app notifications by choosing users to notify and configuring time triggers.
6. You can also send a test email to see how your notification will look.

This setup will ensure you receive notifications for appointments booked through your calendar.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000003441-email-in-app-appointment-notifications', 'Category': 'Calendars & Appointments ', 'Folder': 'Calendar Settings & Preferences '}]"
"I received this message when sending out my latest email newsletter campaign: ""You have violated our email sending policy. Your account has been suspended for sending further emails. Please contact support."" ",LC Email System,,https://help.gohighlevel.com/support/solutions/articles/48001214786-what-is-email-bounce-suspension-and-how-to-avoid-it,"Your account suspension for violating the email sending policy could be due to a high bounce rate or other compliance issues. Here are some steps you can take to address this:

1. **Check Bounce Rate**: Ensure your bounce rate is below the industry threshold of 5%. A high bounce rate can lead to account suspension.
2. **Cleanse Contact List**: Use an Email Validation Service to cleanse your contact list and remove invalid or non-existent email addresses.
3. **Enable Email Validation**: Make sure email validation is enabled to prevent future issues.
4. **Review Sending Practices**: Avoid bulk communication or cold email campaigns that might lead to high bounce rates.
5. **Contact Support**: Reach out to support for assistance in resolving the suspension and understanding the specific policy violation.

Following these steps can help you prevent future suspensions and improve your email deliverability.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001214786-what-is-email-bounce-suspension-and-how-to-avoid-it', 'Category': 'Email ', 'Folder': 'LC Email '}]"
Twilio transition to LC phone use in GHL and WAV multi-dialer,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48001204027-how-do-i-migrate-my-agency-and-sub-account-over-to-lc-phone-,"To transition from Twilio to LC Phone within the HighLevel platform, you can follow these steps:

1. **Validate Access**: Ensure you have access to the LC Phone System in your Agency Settings.

2. **Migration Process**:
   - Convert your agency to an Independent Software Vendor (ISV).
   - Move existing sub-accounts to LC Phone.

3. **Phone Number Management**:
   - Use the 'Move Numbers' tool to transfer phone numbers from Twilio to LC Phone.
   - Ensure all regulatory requirements are met, especially for non-US/Canada numbers.

4. **Account Setup**:
   - Create a Twilio sub-account if needed and update credentials in HighLevel.
   - For complex transfers, contact Twilio or HighLevel support.

5. **WAV Multi-Dialer**: The context does not specifically mention WAV multi-dialer integration, so further details might be needed from HighLevel support or documentation.

Ensure all steps are followed carefully to maintain service continuity and compliance.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001204027-how-do-i-migrate-my-agency-and-sub-account-over-to-lc-phone-', 'Category': 'Phone System ', 'Folder': 'LC Phone System '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001203968-moving-numbers-tool-across-sub-accounts', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001240108-moving-numbers-to-an-lc-phone-sub-account-from-the-client-s-own-twilio-account', 'Category': 'Phone System ', 'Folder': 'Phone numbers '}]"
Attaching a zoom link,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000002372--new-how-to-connect-zoom-,"To attach a Zoom link to a meeting using the integration with the CRM platform:
1. Ensure that each user connects their own Zoom account to their profile.
2. Set the meeting location to Zoom in user availability and calendar settings.
3. The integration will automatically generate a unique Zoom meeting link for each new scheduled meeting.
4. You can also set up a workflow to send appointment reminders with Zoom links using the Workflow Builder.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001179593-zoom-integration-for-users-calendar-bookings', 'Category': 'Integrations ', 'Folder': 'Other Integrations '}]"
"Registering for A2P Messaging and brand got regected 3 times somehow. Told to proceed with the following steps: \n\nMaximum 3 tries exhausted, please prepare the CP 575 form (EIN Confirmation Letter) for the sub-account and send that over to support team for next steps.\n\nI dont really know what that means and I dont understand whats wrong with my brand registration",LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/155000000508-a2p-10dlc-brand-approval-best-practices,"When your A2P brand registration is rejected three times, you are required to prepare the CP 575 form, which is the EIN Confirmation Letter from the IRS. This document confirms your Employer Identification Number (EIN) and is necessary for verifying your business identity. You should send this form to the support team for further assistance with your brand registration. This step is crucial to ensure that your brand registration can proceed correctly.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000000508-a2p-10dlc-brand-approval-best-practices', 'Category': 'Phone System ', 'Folder': 'A2P registration '}]"
"I would like some help with 2 failed A2P registrations under 2 sub accounts for our clients, I would like to know what can we do to get this resolved?",LC Phone System,--,https://help.gohighlevel.com/support/solutions/articles/155000001454-fixing-failed-number-registrations-a2p-local-and-toll-free-,"To resolve the failed A2P registrations for your clients, consider the following steps based on common reasons for registration failures:

1. **Opt-in Information Issues**: Ensure that opt-in forms include checkboxes for Terms & Conditions and Privacy Policy with links, consent to receive messages, and information on how to opt-out.

2. **Forbidden Use Cases**: Verify that the business categories for the campaigns are not forbidden. Forbidden categories include high-risk financial services, third-party lead generation, debt collection, 'get rich quick' schemes, gambling, illegal substances, and 'S.H.A.F.T.' use cases (Sex, Hate, Alcohol, Firearms, and Tobacco).

3. **Updating Provided Examples**: Review and update example messages with accurate business information, including your specific business phone number, website links, and business name.

4. **Inaccurate Company Information**: Ensure that all company information provided matches official documents like the CP 575 from the IRS.

5. **Broken/Inactive Links**: Verify that all provided links are functional and lead to the correct pages.

By addressing these areas, you can improve the chances of successful A2P registration.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000001454-fixing-failed-number-registrations-a2p-local-and-toll-free-', 'Category': 'Phone System ', 'Folder': 'LC Phone System '}]"
I want to check if I have completed the dedicated domain for email properly,LC Email System,Products,https://help.gohighlevel.com/support/solutions/articles/48001226115-how-to-set-up-a-dedicated-sending-domain-lc-email-,"To ensure you have completed the dedicated domain setup for email properly in HighLevel, follow these steps:

1. **Add Your Domain**:
   - Navigate to Settings > Email Services > Dedicated Domain and IP.
   - Click ""+ Add Domain"" and enter your domain name.
   - Use a subdomain for better email deliverability.

2. **Verify Your Domain**:
   - Choose between Auto Configure DNS or Manual Setup.
   - For Auto Configure DNS, log in to your DNS provider and follow the automatic setup.
   - For Manual Setup, add TXT, CNAME, and MX records manually to your DNS.

3. **Check Domain Status**:
   - After verification, ensure the domain status shows as ""Verified"" and ""Active"".
   - SSL certificate issuance may take 1-10 minutes post-verification.

4. **Troubleshooting**:
   - If you encounter issues, verify DNS records using tools like MX Toolbox.
   - Ensure the CNAME record points to mailgun.org for tracking purposes.

Following these steps should help confirm that your dedicated domain setup is complete and functioning correctly.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002220-how-to-add-a-domain-and-verify-dns-record', 'Category': 'Email ', 'Folder': 'LC Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001226115-lc-email-dedicated-sending-domains', 'Category': 'Email ', 'Folder': 'LC Email Dedicated Domain and IP '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001151622-how-to-fix-links-in-the-email-that-do-not-open-', 'Category': 'Email ', 'Folder': 'Troubleshooting Email '}]"
I want to remove people from a live workflow how can I do that ?,Automation,Conversation Channels (UI)      Workflows,https://help.gohighlevel.com/en/support/solutions/articles/155000002553-action-remove-from-workflow,"I'm sorry, but I don't have relevant information to answer your question about removing people from a live workflow.",
changing my email send limit,LC Email System,Funnels,https://help.gohighlevel.com/support/solutions/articles/48001220605-what-is-lc-email-#extend-sending-limit,"To change your email send limit, you can consider the following options based on the provided context:

1. **LC Email Limits**: If you are using LC Email, the daily email limit for a shared domain is up to 15,000 emails per day, and for a dedicated domain, it is up to 450,000 emails per day. To increase the limit beyond 15,000 for a sub-account, you need to set up a Dedicated Sending Domain.

2. **Bulk Actions Rate Limits**: For bulk email actions, the system processes 60,000 contacts per hour. If you need to adjust the rate at which emails are sent, consider scheduling your bulk actions accordingly.

If you need further assistance or specific changes, it might be necessary to contact support or refer to your platform's settings for more detailed configuration options.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001220605-what-is-lc-email-', 'Category': 'Email ', 'Folder': 'LC Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001167703-bulk-actions-for-contacts-smartlists', 'Category': 'nan', 'Folder': 'Smart Lists '}]"
cant add connection to my MailGun account,LC Email System,Memberships,https://help.gohighlevel.com/support/solutions/articles/48000981682-mailgun-api-key-where-to-find-in-mailgun-put-in-highlevel,"If you're having trouble adding a connection to your Mailgun account, consider the following steps based on the provided context:

1. **Verify DNS Records**: Ensure that you have correctly added the required DNS records (2 TXT, 2 MX, and 1 CNAME) for your domain as specified by Mailgun. This is crucial for the domain verification process.

2. **Check Region Settings**: Make sure your domain is set up under the US region, not EU, as this is a common requirement for Mailgun setup.

3. **Use a Subdomain**: If you're using G Suite or another email provider for your main domain, set up Mailgun with a subdomain instead.

4. **Verify DNS Settings**: After adding the DNS records, go back to Mailgun and click on 'Verify DNS Settings'. You may need to click this button multiple times until all records show a green checkmark.

5. **Check for Errors**: If there are any errors or issues, consult the Mailgun logs for more detailed information on what might be going wrong.

If these steps do not resolve your issue, you may need to consult Mailgun's support for further assistance.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48000981679-mailgun-setup-hostgator-domain-setup', 'Category': 'Email ', 'Folder': 'MailGun '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48000981678-mailgun-setup-godaddy-domain-setup', 'Category': 'Email ', 'Folder': 'MailGun '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001219824-step-by-step-guide-to-set-up-mailgun', 'Category': 'Email ', 'Folder': 'MailGun '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48000981685-mailgun-setup-siteground-domain-setup', 'Category': 'Email ', 'Folder': 'MailGun '}]"
how to capture contact info from AI chat widget?,Opportunities,Other,https://help.gohighlevel.com/en/support/solutions/articles/155000001320-live-chat,"I'm sorry, but I don't have relevant information to answer the question about capturing contact info from an AI chat widget.",
no zoom meeting link,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000002372--new-how-to-connect-zoom-,"If you are not seeing a Zoom meeting link, it could be due to several reasons: 
1. Ensure that the Zoom integration is correctly set up in your CRM platform. Each user must connect their own Zoom account to their profile.
2. Check if the meeting location is set to Zoom in user availability and calendar settings.
3. Verify that you have not exceeded the limit of 100 requests per day for creating, updating, or deleting meetings.
4. If the meeting was rescheduled, a new meeting link should be generated unless there's another appointment in the same time slot.
5. For unassigned calendars, ensure that a static Zoom link has been manually added to the meeting location settings.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001179593-zoom-integration-for-users-calendar-bookings', 'Category': 'Integrations ', 'Folder': 'Other Integrations '}]"
no zoom meeting link,Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000002372--new-how-to-connect-zoom-,"If you are not seeing a Zoom meeting link, it could be due to several reasons:
1. Ensure that the Zoom integration is properly set up in your CRM platform. Each user must connect their own Zoom account to their profile.
2. Check if the meeting location is set to Zoom in the user availability and calendar settings.
3. Verify that you have not exceeded the limit of 100 requests per day for creating, updating, or deleting meetings.
4. If the meeting was rescheduled, a new meeting link should be generated unless there's another appointment in the same time slot.
5. For unassigned calendars, ensure that a static Zoom link has been manually added to the meeting location settings.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001179593-zoom-integration-for-users-calendar-bookings', 'Category': 'Integrations ', 'Folder': 'Other Integrations '}]"
I would like to know what the charges for using a Toll-free number (US)?,LC Phone System,Standard Twilio,https://help.gohighlevel.com/support/solutions/articles/48001223556-lc-phone-pricing-structure,"The charges for using a toll-free number in the US are as follows:

1. Monthly Cost: $2.15 per month for a toll-free number.
2. Voice Calls:
   - Outbound calls are priced at $0.0180 per minute.
   - Inbound calls are priced at $0.0220 per minute.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001223556-lc-phone-pricing-structure', 'Category': 'Phone System ', 'Folder': 'LC Phone System '}]"
"All my emails are going to spam. I believe I have the DMARC, DKIM, and other settings configured, but I am new to all this and not sure what to do. ",LC Email System,Workflows,https://help.gohighlevel.com/en/support/solutions/articles/155000001021-email-sending-guide-email-best-practices-email-warm-up,"Here are some steps you can take to address your emails going to spam, based on the provided context:

1. **Verify DMARC and DKIM Settings**: Ensure that your DMARC and DKIM settings are correctly configured. Proper implementation of these authentication protocols is crucial for email deliverability [1, 2].

2. **Check Your Sending Domain**: Avoid using public domains like gmail.com or yahoo.com. Use a domain you own that matches your branding to improve deliverability [1].

3. **List Health**: Regularly clean your email list by removing cold subscribers and ensure you have direct consent from your recipients. Using a double opt-in process can also help maintain a healthy list [1].

4. **Content and Formatting**: Avoid spammy content and formatting in your emails. Ensure your subject lines and body content are natural and not flagged as spammy [1, 18].

5. **Test Your Emails**: Use tools like mail-tester.com to check the 'spammyness' of your emails before sending them to your entire list [5].

6. **Monitor and Adjust**: Use tools like Google Postmaster Tools to monitor your domain's reputation and adjust your practices accordingly [5].

If these steps do not resolve the issue, consider reaching out to your email service provider for further assistance.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001063372-why-are-my-emails-going-to-spam-', 'Category': 'Email ', 'Folder': 'Deliverability '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001224630-email-authentication-dmarc', 'Category': 'Email ', 'Folder': 'LC Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000001021-email-sending-guide-email-best-practices-email-warm-up', 'Category': 'Email ', 'Folder': 'LC Email '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001198783-what-is-email-deliverability-a-guest-tutorial-from-krystin-ruschman-of-email-2-inbox', 'Category': 'Email ', 'Folder': 'Deliverability '}]"
"Appointments not reflecting on our users calendar, availability as well ",Calendars,Appointments,https://help.gohighlevel.com/support/solutions/articles/155000002374--new-calendar-configuration-linked-calendar-conflicts-calendar,"To address the issue of appointments not reflecting on users' calendars and availability, consider the following steps based on the provided context:

1. **Check Calendar Integration**: Ensure that the calendar is properly integrated with HighLevel. For Google Calendar, verify that the integration is set up correctly by following the steps in the integration guide, which includes ensuring writer's access and setting up linked and conflict calendars [34].

2. **Verify Sync Settings**: Make sure that the sync settings are configured correctly. For instance, the Primary Calendar should be set to write events to the third-party calendar, and the Conflict Calendar should be set to read events to block availability [32].

3. **Re-integrate Calendar**: If there are persistent issues, consider re-integrating the calendar by deleting the existing integration and setting it up again. This process involves confirming the connection and configuring advanced settings for sync preferences [31].

4. **Check for Conflicts**: Ensure that the 'Check for Conflicts' feature is enabled and correctly configured to prevent double bookings and ensure availability is accurately reflected [18].

5. **Troubleshoot Specific Errors**: If there are specific error messages, such as a Google Calendar writer access error, follow the troubleshooting steps provided to resolve these issues [27].","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001181302-how-to-re-integrate-google-calendar-for-a-user', 'Category': 'Calendars & Appointments ', 'Folder': 'Troubleshooting Calendars '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002374-setting-up-linked-calendars-conflict-calendars', 'Category': 'Calendars & Appointments ', 'Folder': 'Calendar Settings & Preferences '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002369-google-how-to-integrate-google-with-highlevel-calendars', 'Category': 'Calendars & Appointments ', 'Folder': 'Calendar Integrations '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/155000002263-assigning-a-primary-calendar', 'Category': 'Calendars & Appointments ', 'Folder': 'Calendar Settings & Preferences '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001064575-google-calendar-writer-access-error', 'Category': 'Calendars & Appointments ', 'Folder': 'Troubleshooting Calendars '}]"
"I am trying to figure out how to have the ""reply to"" email address the same is the actual ""from"" email address I do have a dedicated domain ",LC Email System,Workflows Memberships,https://help.gohighlevel.com/support/solutions/articles/48001155000-email-services-configuration-reply-forward-settings,"To ensure that the 'reply-to' email address is the same as the 'from' email address when using a dedicated domain, you can configure this in the email settings. Here are the steps you can follow:

1. Navigate to the Sub-account Settings in HighLevel.
2. Go to Email Service > SMTP Service > Dedicated Domain and IP.
3. Set the default headers for your dedicated domain, ensuring that the 'From' address is configured correctly.
4. Ensure that the sender email address matches the email integrated with your SMTP provider and is verified by the provider.

This setup will help ensure that the 'reply-to' address matches the 'from' address for emails sent from your dedicated domain.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001226115-lc-email-dedicated-sending-domains', 'Category': 'Email ', 'Folder': 'LC Email Dedicated Domain and IP '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48000979925-sending-priority-from-name-address', 'Category': 'Email ', 'Folder': 'General '}]"
"Hi there, i set the new Whatsapp Delivery Status workflow in one of my existing workflows.\n\nI Set the if/any action. So, if the delivery is successful move to a particular pipeline stage. If the delivery is not successfull, move it to another stage. I found that not all of the unsuccessful deliverys was on the right piepline stage. I checked the execution status and it says that the message was successfully delivered. But then i check the messagge on conversation menu, and it says that the message delivery was not successful. ",Automation,Workflows,https://help.gohighlevel.com/en/support/solutions/articles/155000001624-whatsapp-workflow-integration,I don't have relevant information to answer the question.,
I already have a Twilio and it is already approved for messaging - I just need your help to know how can i connect that twilo account within the specific sub-account,LC Phone System,,https://help.gohighlevel.com/support/solutions/articles/48000981421-import-existing-twilio-numbers-into-highlevel,"To connect your Twilio account to a specific sub-account in HighLevel, follow these steps:

1. **Create a Twilio Subaccount**: 
   - Log into your Twilio account.
   - Click the Account dropdown and select 'Subaccounts'.
   - Click 'Create subaccount', enter the location company name, and click 'Create subaccount'.

2. **Copy the Account SID and Auth Token**: 
   - From the Twilio subaccount, copy the Account SID and Auth Token.

3. **Update Credentials in HighLevel**:
   - Log into your HighLevel account.
   - Go to Agency Settings > Twilio.
   - Find your client, click the three dots icon next to their name, select 'Update Credentials', and replace the SID and Auth Token with the new values from the sub-account in your Twilio account.

These steps will ensure that your Twilio account is properly connected to the specific sub-account in HighLevel.","[{'url': 'https://help.gohighlevel.com/support/solutions/articles/48001220001-how-to-use-the-client-s-own-twilio-account-for-the-location-', 'Category': 'Phone System ', 'Folder': 'General '}, {'url': 'https://help.gohighlevel.com/support/solutions/articles/48001179177-enabling-twilio-rebilling-for-customers-who-were-using-the-same-sid-token-as-other-customers', 'Category': 'Saas Mode ', 'Folder': 'Saas Mode '}]"
